id,Source title,Source type,Print ISSN,Electronic ISSN,ASJC field IDs,Year,Citing source,P,IPP,IPP (lower bound),IPP (upper bound),SNIP,SNIP (lower bound),SNIP (upper bound),% self cit,APC_USD_denominated_x,Subjects_x,APC_USD_denominated_y,Subjects_y,APC_USD_denominated,Subjects
58,"3L: Language, Linguistics, Literature",Journal,0128-5157,2550-2247,1203; 1208; 3310,2021,1,148,1.00675675675676,0.763513513513513,1.30405405405405,1.18057246023222,0.870346278563098,1.51864922839393,0.355704697986577,300,Language and Literature: English language,,,300.0,Language and Literature: English language
581,Abstract and Applied Analysis,Journal,1085-3375,1687-0409,2603; 2604,2021,1,120,0.983333333333333,0.733333333333333,1.25833333333333,0.844237594094045,0.575417593834938,1.17134541797591,0.0847457627118644,1025,Science: Mathematics,1025,Science: Mathematics,1025.0,Science: Mathematics
769,Academic Pathology,Journal,-,2374-2895,2734,2021,1,138,1.23913043478261,0.72463768115942,1.95652173913043,0.765623162611537,0.490156039025833,1.04575201654406,0.152046783625731,,,1950,Medicine: Pathology,1950.0,Medicine: Pathology
2443,ACRN Journal of Finance and Risk Perspectives,Journal,-,2305-7394,1402; 1403; 1804; 2003,2021,1,38,0.631578947368421,0.289473684210526,1.05263157894737,0.291533776187287,0.115006467621524,0.501017345811239,0.0,,,78.4,Social Sciences: Commerce: Business: Accounting. Bookkeeping | Social Sciences: Finance,78.4,Social Sciences: Commerce: Business: Accounting. Bookkeeping | Social Sciences: Finance
2634,ACS Omega,Journal,-,2470-1343,1500; 1600,2021,1,8013,3.89279920129789,3.78385124173219,3.99600648945464,0.894140899072698,0.870415433199263,0.917543654742277,0.0330843458468246,,,1685,Science: Chemistry,1685.0,Science: Chemistry
2769,Acta Acustica,Journal,1022-4793,2681-4617,,2021,1,287,1.01393728222997,0.850174216027875,1.18815331010453,0.694459012868103,0.555987884464014,0.846620514990779,0.0652920962199313,882.0,Technology: Electrical engineering. Electronics. Nuclear engineering: Acoustics in engineering. Acoustical engineering | Science: Physics: Acoustics. Sound,882.0,Technology: Electrical engineering. Electronics. Nuclear engineering: Acoustics in engineering. Acoustical engineering | Science: Physics: Acoustics. Sound,882.0,Technology: Electrical engineering. Electronics. Nuclear engineering: Acoustics in engineering. Acoustical engineering | Science: Physics: Acoustics. Sound
2838,Acta Agriculturae Scandinavica - Section B Soil and Plant Science,Journal,0906-4710,1651-1913,1102; 1111,2021,1,228,2.03070175438596,1.68859649122807,2.44736842105263,0.788037653597702,0.637387328152121,0.956109480705524,0.019438444924406,2010,Agriculture: Plant culture,2010,Agriculture: Plant culture,2010.0,Agriculture: Plant culture
2859,Acta Agrobotanica,Journal,0065-0951,2300-357X,1102; 1105; 1110,2021,1,91,1.75824175824176,1.2967032967033,2.31868131868132,0.831487827435739,0.583662390463084,1.09014084523725,0.175,392.0,Agriculture: Agriculture (General),392.0,Agriculture: Agriculture (General),392.0,Agriculture: Agriculture (General)
3281,Acta Biochimica Polonica,Journal,0001-527X,1734-154X,1300,2021,1,219,2.51598173515982,1.89041095890411,3.31050228310502,0.66583148372189,0.528974817981249,0.8041690455015,0.00907441016333938,2352.0,Science: Chemistry: Organic chemistry: Biochemistry | Science: Biology (General): Genetics,2352.0,Science: Chemistry: Organic chemistry: Biochemistry | Science: Biology (General): Genetics,2352.0,Science: Chemistry: Organic chemistry: Biochemistry | Science: Biology (General): Genetics
3342,Acta Biologica Sibirica,Journal,-,2412-1908,1103; 1105; 1109; 1110; 2303; 2306; 2309,2021,0,35,0.971428571428571,0.314285714285714,2.05714285714286,2.70040120018302,0.493811968762135,6.31008610659606,0.0,,,196.0,Science: Biology (General),196.0,Science: Biology (General)
3853,Acta Cirurgica Brasileira,Journal,0102-8650,1678-2674,2746,2021,1,313,1.37060702875399,1.16613418530351,1.59744408945687,0.483181259257066,0.40304950323688,0.574193322137948,0.041958041958042,1500,Medicine: Surgery,1500,Medicine: Surgery,1500.0,Medicine: Surgery
4056,Acta Crystallographica Section E: Crystallographic Communications,Journal,-,2056-9890,1600; 2500; 3104,2021,1,1161,0.757105943152455,0.522825150732127,1.13264427217916,0.411123468750524,0.240146538398708,0.678854140870509,0.270762229806598,,,500,Science: Chemistry: Crystallography,500.0,Science: Chemistry: Crystallography
4163,Acta Dermato-Venereologica,Journal,0001-5555,1651-2057,2708,2021,1,614,2.57491856677524,2.34527687296417,2.86482084690554,1.02217533627722,0.920986099202713,1.14220780825763,0.0379506641366224,1568.0,Medicine: Dermatology,1568.0,Medicine: Dermatology,1568.0,Medicine: Dermatology
4987,Acta Ichthyologica et Piscatoria,Journal,0137-1592,1734-1515,1104,2021,1,169,1.02366863905325,0.792899408284024,1.26627218934911,0.610679148127621,0.457816491479363,0.779050708490934,0.0520231213872832,539.0,Agriculture: Aquaculture. Fisheries. Angling,539.0,Agriculture: Aquaculture. Fisheries. Angling,539.0,Agriculture: Aquaculture. Fisheries. Angling
5134,Acta Logistica,Journal,-,1339-5629,1403; 2205; 2209; 3313,2021,0,59,0.677966101694915,0.423728813559322,0.949152542372881,0.553426501165312,0.253860183646494,0.923960073165713,0.0,,,98.0,Technology: Engineering (General). Civil engineering (General): Transportation engineering,98.0,Technology: Engineering (General). Civil engineering (General): Transportation engineering
5757,Acta Mycologica,Journal,0001-625X,2353-074X,1105; 1110,2021,1,43,0.837209302325581,0.534883720930233,1.2093023255814,0.39803431049047,0.210148999714767,0.624456006538264,0.0833333333333333,392.0,Science: Biology (General),392.0,Science: Biology (General),392.0,Science: Biology (General)
5975,Acta neuropathologica communications,Journal,-,2051-5960,2728; 2734; 2804,2021,1,289,6.27681660899654,5.6159169550173,6.97231833910035,1.19570172665667,1.05999391857536,1.32952559962926,0.0303197353914002,,,2055.4,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system,2055.4,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system
6307,Acta Orthopaedica,Journal,1745-3674,1745-3682,2732; 2746,2021,1,385,3.76623376623377,3.30649350649351,4.32987012987013,1.86519277008498,1.62751952149358,2.11559642475377,0.0586206896551724,1617.0,Medicine: Surgery: Orthopedic surgery,1617.0,Medicine: Surgery: Orthopedic surgery,1617.0,Medicine: Surgery: Orthopedic surgery
